"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Overgewicht_9";"Roker_11";"VoldoetAanAlcoholRichtlijn_12";"ErnstigZeerErnstigEenzaam_28"
"432790";"80200";"MW00000";"WK048205  ";"2020JJ00";"       .";"       .";"       .";"       ."
"432794";"80200";"MW00000";"BU04820501";"2020JJ00";"       .";"       .";"       .";"       ."
"432798";"80200";"MW00000";"BU04820502";"2020JJ00";"       .";"       .";"       .";"       ."
"432802";"80200";"MW00000";"BU04820503";"2020JJ00";"       .";"       .";"       .";"       ."
"432806";"80200";"MW00000";"WK048206  ";"2020JJ00";"    64.5";"     7.0";"    50.0";"     9.9"
"432810";"80200";"MW00000";"BU04820601";"2020JJ00";"       .";"       .";"       .";"       ."
"432814";"80200";"MW00000";"BU04820602";"2020JJ00";"       .";"       .";"       .";"       ."
"432818";"80200";"MW00000";"BU04820603";"2020JJ00";"       .";"       .";"       .";"       ."
"432822";"80200";"MW00000";"BU04820604";"2020JJ00";"       .";"       .";"       .";"       ."
"432826";"80200";"MW00000";"GM0613    ";"2020JJ00";"    60.7";"     9.0";"    55.7";"     9.9"
"432830";"80200";"MW00000";"WK061301  ";"2020JJ00";"    59.8";"     8.6";"    51.3";"     8.7"
"432834";"80200";"MW00000";"BU06130101";"2020JJ00";"    60.5";"     8.8";"    51.0";"     8.4"
"432838";"80200";"MW00000";"BU06130102";"2020JJ00";"    54.7";"     9.0";"    65.3";"    13.4"
"432842";"80200";"MW00000";"BU06130103";"2020JJ00";"    59.9";"     9.0";"    44.8";"     9.2"
"432846";"80200";"MW00000";"BU06130104";"2020JJ00";"    58.8";"     6.3";"    44.3";"     6.3"
"432850";"80200";"MW00000";"WK061302  ";"2020JJ00";"    61.4";"     9.4";"    50.9";"     8.8"
"432854";"80200";"MW00000";"BU06130205";"2020JJ00";"    61.7";"     9.4";"    50.9";"     8.9"
"432858";"80200";"MW00000";"BU06130207";"2020JJ00";"       .";"       .";"       .";"       ."
"432862";"80200";"MW00000";"WK061303  ";"2020JJ00";"    61.6";"     9.2";"    55.9";"    10.0"
"432866";"80200";"MW00000";"BU06130308";"2020JJ00";"    61.8";"     8.5";"    56.4";"    10.5"
"432870";"80200";"MW00000";"BU06130309";"2020JJ00";"    59.6";"     7.9";"    56.9";"     9.3"
"432874";"80200";"MW00000";"BU06130310";"2020JJ00";"    62.8";"    10.1";"    59.7";"    11.6"
"432878";"80200";"MW00000";"BU06130311";"2020JJ00";"    63.0";"     9.8";"    52.5";"     9.2"
"432882";"80200";"MW00000";"BU06130312";"2020JJ00";"    58.4";"    10.8";"    52.8";"    11.6"
"432886";"80200";"MW00000";"BU06130313";"2020JJ00";"    51.8";"     4.8";"    50.6";"     5.4"
"432890";"80200";"MW00000";"WK061304  ";"2020JJ00";"    58.5";"     8.5";"    57.1";"    10.3"
"432894";"80200";"MW00000";"BU06130414";"2020JJ00";"    56.5";"     7.7";"    54.2";"     8.9"
"432898";"80200";"MW00000";"BU06130415";"2020JJ00";"    58.3";"     7.8";"    59.7";"    10.3"
"432902";"80200";"MW00000";"BU06130416";"2020JJ00";"    56.3";"     6.8";"    44.7";"     6.6"
"432906";"80200";"MW00000";"BU06130417";"2020JJ00";"    60.2";"     9.8";"    61.8";"    12.9"
"432910";"80200";"MW00000";"BU06130418";"2020JJ00";"    62.1";"    11.5";"    57.2";"    11.7"
"432914";"80200";"MW00000";"BU06130419";"2020JJ00";"    59.5";"     8.4";"    55.3";"     9.9"
"432918";"80200";"MW00000";"BU06130420";"2020JJ00";"    54.9";"     6.8";"    49.9";"     5.5"
"432922";"80200";"MW00000";"WK061305  ";"2020JJ00";"    58.9";"     9.1";"    48.9";"     6.7"
"432926";"80200";"MW00000";"BU06130521";"2020JJ00";"       .";"       .";"       .";"       ."
"432930";"80200";"MW00000";"BU06130522";"2020JJ00";"    60.8";"     9.8";"    46.8";"     6.9"
"432934";"80200";"MW00000";"WK061306  ";"2020JJ00";"    63.3";"     9.6";"    56.8";"    10.1"
"432938";"80200";"MW00000";"BU06130623";"2020JJ00";"    66.8";"    12.7";"    57.2";"    12.2"
"432942";"80200";"MW00000";"BU06130624";"2020JJ00";"    63.9";"     9.1";"    57.6";"     9.6"
"432946";"80200";"MW00000";"BU06130625";"2020JJ00";"    54.0";"     8.8";"    52.7";"     7.2"
"432950";"80200";"MW00000";"BU06130626";"2020JJ00";"    62.6";"     9.1";"    56.5";"     9.8"
"432954";"80200";"MW00000";"WK061307  ";"2020JJ00";"       .";"       .";"       .";"       ."
"432958";"80200";"MW00000";"BU06130706";"2020JJ00";"       .";"       .";"       .";"       ."
"432962";"80200";"MW00000";"GM0361    ";"2020JJ00";"    55.9";"    10.0";"    52.1";"     9.7"
"432966";"80200";"MW00000";"WK036101  ";"2020JJ00";"    53.2";"     9.5";"    52.4";"     9.8"
"432970";"80200";"MW00000";"BU03610100";"2020JJ00";"    58.4";"    11.5";"    60.5";"    13.4"
"432974";"80200";"MW00000";"BU03610101";"2020JJ00";"    57.9";"     9.8";"    60.9";"    12.1"
"432978";"80200";"MW00000";"BU03610102";"2020JJ00";"    56.1";"    10.7";"    57.5";"    11.1"
"432982";"80200";"MW00000";"BU03610103";"2020JJ00";"    60.6";"    14.7";"    56.7";"    14.2"
"432986";"80200";"MW00000";"BU03610104";"2020JJ00";"    52.1";"     8.0";"    49.5";"     8.7"
"432990";"80200";"MW00000";"BU03610105";"2020JJ00";"    48.2";"     8.0";"    46.7";"     7.8"
"432994";"80200";"MW00000";"BU03610106";"2020JJ00";"    45.7";"     6.9";"    45.6";"     6.2"
"432998";"80200";"MW00000";"BU03610107";"2020JJ00";"    46.6";"     7.5";"    47.7";"     7.1"
"433002";"80200";"MW00000";"BU03610108";"2020JJ00";"    56.3";"    12.1";"    47.3";"     9.6"
"433006";"80200";"MW00000";"BU03610109";"2020JJ00";"    49.3";"     7.0";"    47.8";"     7.0"
"433010";"80200";"MW00000";"WK036102  ";"2020JJ00";"    54.9";"     8.9";"    52.7";"     9.0"
"433014";"80200";"MW00000";"BU03610200";"2020JJ00";"    53.5";"     8.7";"    47.4";"     7.6"
"433018";"80200";"MW00000";"BU03610201";"2020JJ00";"    53.8";"     7.0";"    55.5";"     9.0"
"433022";"80200";"MW00000";"BU03610202";"2020JJ00";"    51.6";"     6.4";"    52.5";"     7.6"
"433026";"80200";"MW00000";"BU03610203";"2020JJ00";"    58.4";"    11.7";"    51.0";"     9.4"
"433030";"80200";"MW00000";"BU03610204";"2020JJ00";"    62.7";"    14.9";"    62.5";"    15.3"
"433034";"80200";"MW00000";"BU03610205";"2020JJ00";"    53.2";"     6.9";"    54.0";"     6.9"
"433038";"80200";"MW00000";"BU03610206";"2020JJ00";"    56.3";"     9.4";"    49.2";"     9.2"
"433042";"80200";"MW00000";"BU03610208";"2020JJ00";"    50.1";"     7.0";"    45.6";"     5.7"
"433046";"80200";"MW00000";"BU03610209";"2020JJ00";"       .";"       .";"       .";"       ."
"433050";"80200";"MW00000";"WK036103  ";"2020JJ00";"    61.5";"    13.2";"    58.7";"    12.2"
"433054";"80200";"MW00000";"BU03610300";"2020JJ00";"    62.1";"    13.9";"    54.9";"    11.0"
"433058";"80200";"MW00000";"BU03610301";"2020JJ00";"    56.6";"    10.3";"    52.5";"     9.9"
"433062";"80200";"MW00000";"BU03610302";"2020JJ00";"    65.5";"    15.8";"    70.2";"    16.3"
"433066";"80200";"MW00000";"BU03610303";"2020JJ00";"    58.1";"     9.3";"    54.9";"    10.3"
"433070";"80200";"MW00000";"BU03610308";"2020JJ00";"       .";"       .";"       .";"       ."
"433074";"80200";"MW00000";"BU03610309";"2020JJ00";"    56.4";"    10.9";"    45.2";"     6.2"
"433078";"80200";"MW00000";"WK036104  ";"2020JJ00";"    53.1";"     9.3";"    54.7";"    10.6"
"433082";"80200";"MW00000";"BU03610400";"2020JJ00";"    56.1";"     9.8";"    60.6";"    12.8"
"433086";"80200";"MW00000";"BU03610401";"2020JJ00";"    52.9";"    10.1";"    54.8";"    11.6"
"433090";"80200";"MW00000";"BU03610402";"2020JJ00";"    50.0";"     8.9";"    51.4";"     8.8"
