"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"SoortRegio_2";"Codering_3";"EenOfMeerLangdurigeAandoeningen_16";"BeperktVanwegeGezondheid_17";"ErnstigBeperktVanwegeGezondheid_18";"LangdurigeZiekteEnBeperkt_19"
"312407";"80200";"MW00000";"BU03580206";"2020JJ00";"Buurt     ";"BU03580206          ";"    38.8";"    38.0";"     5.8";"    34.2"
"312410";"80200";"MW00000";"GM0197    ";"2020JJ00";"Gemeente  ";"GM0197              ";"    46.4";"    49.6";"     8.5";"    47.1"
"312413";"80200";"MW00000";"WK019701  ";"2020JJ00";"Wijk      ";"WK019701            ";"    42.8";"    45.1";"     6.6";"    43.1"
"312416";"80200";"MW00000";"BU01970101";"2020JJ00";"Buurt     ";"BU01970101          ";"    47.4";"    49.7";"     5.8";"    48.2"
"312419";"80200";"MW00000";"BU01970102";"2020JJ00";"Buurt     ";"BU01970102          ";"    40.0";"    41.1";"     5.3";"    39.2"
"312422";"80200";"MW00000";"BU01970103";"2020JJ00";"Buurt     ";"BU01970103          ";"    41.8";"    44.8";"     6.2";"    44.0"
"312425";"80200";"MW00000";"BU01970104";"2020JJ00";"Buurt     ";"BU01970104          ";"    42.3";"    47.0";"     8.3";"    46.2"
"312428";"80200";"MW00000";"BU01970105";"2020JJ00";"Buurt     ";"BU01970105          ";"    41.5";"    46.7";"     5.9";"    45.0"
"312431";"80200";"MW00000";"BU01970106";"2020JJ00";"Buurt     ";"BU01970106          ";"    49.4";"    49.9";"     9.2";"    47.7"
"312434";"80200";"MW00000";"BU01970107";"2020JJ00";"Buurt     ";"BU01970107          ";"    43.7";"    44.4";"     4.8";"    40.9"
"312437";"80200";"MW00000";"BU01970108";"2020JJ00";"Buurt     ";"BU01970108          ";"    40.7";"    41.9";"     6.6";"    39.8"
"312440";"80200";"MW00000";"BU01970109";"2020JJ00";"Buurt     ";"BU01970109          ";"       .";"       .";"       .";"       ."
"312443";"80200";"MW00000";"BU01970110";"2020JJ00";"Buurt     ";"BU01970110          ";"    43.0";"    46.0";"     6.1";"    42.4"
"312446";"80200";"MW00000";"BU01970111";"2020JJ00";"Buurt     ";"BU01970111          ";"    46.1";"    48.5";"     7.8";"    47.5"
"312449";"80200";"MW00000";"BU01970112";"2020JJ00";"Buurt     ";"BU01970112          ";"    41.1";"    38.6";"     5.2";"    36.5"
"312452";"80200";"MW00000";"WK019702  ";"2020JJ00";"Wijk      ";"WK019702            ";"    45.7";"    47.4";"     7.9";"    45.4"
"312455";"80200";"MW00000";"BU01970201";"2020JJ00";"Buurt     ";"BU01970201          ";"    43.6";"    44.9";"     5.9";"    44.1"
"312458";"80200";"MW00000";"BU01970202";"2020JJ00";"Buurt     ";"BU01970202          ";"    43.6";"    48.0";"     8.1";"    45.3"
"312461";"80200";"MW00000";"BU01970203";"2020JJ00";"Buurt     ";"BU01970203          ";"    40.7";"    49.2";"     8.6";"    46.1"
"312464";"80200";"MW00000";"BU01970204";"2020JJ00";"Buurt     ";"BU01970204          ";"    46.7";"    47.6";"     8.1";"    45.5"
"312467";"80200";"MW00000";"WK019703  ";"2020JJ00";"Wijk      ";"WK019703            ";"    46.6";"    51.1";"     8.8";"    48.1"
"312470";"80200";"MW00000";"BU01970301";"2020JJ00";"Buurt     ";"BU01970301          ";"    46.5";"    49.0";"     7.7";"    46.1"
"312473";"80200";"MW00000";"BU01970302";"2020JJ00";"Buurt     ";"BU01970302          ";"    47.6";"    51.4";"     8.7";"    48.7"
"312476";"80200";"MW00000";"BU01970303";"2020JJ00";"Buurt     ";"BU01970303          ";"    44.6";"    44.7";"     7.3";"    41.1"
"312479";"80200";"MW00000";"BU01970304";"2020JJ00";"Buurt     ";"BU01970304          ";"    46.3";"    53.0";"     9.6";"    49.7"
"312482";"80200";"MW00000";"BU01970305";"2020JJ00";"Buurt     ";"BU01970305          ";"    41.0";"    40.4";"     7.2";"    38.3"
"312485";"80200";"MW00000";"BU01970306";"2020JJ00";"Buurt     ";"BU01970306          ";"    49.8";"    51.8";"     8.6";"    49.2"
"312488";"80200";"MW00000";"BU01970307";"2020JJ00";"Buurt     ";"BU01970307          ";"    46.7";"    53.2";"     9.5";"    50.2"
"312491";"80200";"MW00000";"WK019704  ";"2020JJ00";"Wijk      ";"WK019704            ";"    47.6";"    49.8";"     9.0";"    47.5"
"312494";"80200";"MW00000";"BU01970400";"2020JJ00";"Buurt     ";"BU01970400          ";"    50.6";"    54.8";"    10.9";"    52.3"
"312497";"80200";"MW00000";"BU01970401";"2020JJ00";"Buurt     ";"BU01970401          ";"    47.1";"    47.7";"     8.5";"    45.7"
"312500";"80200";"MW00000";"BU01970402";"2020JJ00";"Buurt     ";"BU01970402          ";"    46.2";"    47.9";"     7.9";"    45.5"
"312503";"80200";"MW00000";"BU01970403";"2020JJ00";"Buurt     ";"BU01970403          ";"    45.0";"    44.6";"     7.9";"    42.9"
"312506";"80200";"MW00000";"BU01970408";"2020JJ00";"Buurt     ";"BU01970408          ";"    42.3";"    39.2";"     6.1";"    38.0"
"312509";"80200";"MW00000";"BU01970409";"2020JJ00";"Buurt     ";"BU01970409          ";"    41.9";"    42.9";"     5.7";"    41.5"
"312512";"80200";"MW00000";"GM0059    ";"2020JJ00";"Gemeente  ";"GM0059              ";"    46.3";"    48.4";"     8.3";"    46.4"
"312515";"80200";"MW00000";"WK005900  ";"2020JJ00";"Wijk      ";"WK005900            ";"    46.2";"    47.7";"     7.9";"    45.3"
"312518";"80200";"MW00000";"BU00590000";"2020JJ00";"Buurt     ";"BU00590000          ";"    46.0";"    48.0";"     7.8";"    45.6"
"312521";"80200";"MW00000";"BU00590001";"2020JJ00";"Buurt     ";"BU00590001          ";"    46.2";"    49.9";"     9.5";"    47.2"
"312524";"80200";"MW00000";"BU00590002";"2020JJ00";"Buurt     ";"BU00590002          ";"    48.7";"    49.0";"     8.4";"    47.2"
"312527";"80200";"MW00000";"BU00590003";"2020JJ00";"Buurt     ";"BU00590003          ";"    47.6";"    49.2";"     8.9";"    46.6"
"312530";"80200";"MW00000";"BU00590004";"2020JJ00";"Buurt     ";"BU00590004          ";"    46.2";"    47.3";"     7.3";"    45.0"
"312533";"80200";"MW00000";"BU00590005";"2020JJ00";"Buurt     ";"BU00590005          ";"    41.5";"    41.6";"     6.0";"    39.4"
